,"file_name","image_type","predicted_index","possible_label"
763,"swine_ILSVRC2012_val_00014171_t.jpg","fire screen",556,"fire screen"
764,"helmet_ILSVRC2012_val_00032342_t.jpg","hard disk drive",592,"hard disk drive"
765,"microwave_ILSVRC2012_val_00047421_t.jpg","window screen",904,"window screen"
766,"camel_ILSVRC2012_val_00015872_t.jpg","fire screen",556,"fire screen"
767,"spider_ILSVRC2012_val_00008805_t.jpg","magpie",18,"magpie"
768,"gun_ILSVRC2012_val_00018910_t.jpg","shoji screen / room divider",789,"shoji screen / room divider"
769,"bellpepper_ILSVRC2012_val_00000423_t.jpg","jigsaw puzzle",611,"jigsaw puzzle"
770,"bear_ILSVRC2012_val_00031906_t.jpg","paintbrush",696,"paintbrush"
771,"bird_ILSVRC2012_val_00007153_t.jpg","kite (bird of prey)",21,"kite (bird of prey)"
772,"horse_ILSVRC2012_val_00011600_t.jpg","paintbrush",696,"paintbrush"
773,"snail_ILSVRC2012_val_00045031_t.jpg","jigsaw puzzle",611,"jigsaw puzzle"
774,"chair_ILSVRC2012_val_00012771_t.jpg","kite (bird of prey)",21,"kite (bird of prey)"
775,"airplane_ILSVRC2012_val_00011168_t.jpg","website",916,"website"
776,"guitar_ILSVRC2012_val_00021556_t.jpg","Petri dish",712,"Petri dish"
777,"microwave_ILSVRC2012_val_00038763_t.jpg","American dipper",20,"American dipper"
778,"bee_ILSVRC2012_val_00045227_t.jpg","kite (bird of prey)",21,"kite (bird of prey)"
779,"mushroom_ILSVRC2012_val_00039698_t.jpg","television",851,"television"
780,"airplane_ILSVRC2012_val_00030531_t.jpg","kimono",614,"kimono"
781,"guitar_ILSVRC2012_val_00029538_t.jpg","kimono",614,"kimono"
782,"squirrel_ILSVRC2012_val_00023383_t.jpg","velvet fabric",885,"velvet fabric"
783,"bird_ILSVRC2012_val_00017028_t.jpg","kite (bird of prey)",21,"kite (bird of prey)"
784,"dog_ILSVRC2012_val_00028881_t.jpg","television",851,"television"
785,"fish_ILSVRC2012_val_00021343_t.jpg","paintbrush",696,"paintbrush"
786,"lemon_ILSVRC2012_val_00028823_t.jpg","hot tub",876,"hot tub"
787,"spider_ILSVRC2012_val_00039661_t.jpg","comic book",917,"comic book"
788,"frog_ILSVRC2012_val_00041279_t.jpg","kite (bird of prey)",21,"kite (bird of prey)"
789,"broccoli_ILSVRC2012_val_00004207_t.jpg","honeycomb",599,"honeycomb"
790,"lobster_ILSVRC2012_val_00028657_t.jpg","fire screen",556,"fire screen"
791,"swine_ILSVRC2012_val_00011892_t.jpg","valley",979,"valley"
792,"camel_ILSVRC2012_val_00011354_t.jpg","fire screen",556,"fire screen"
793,"cat_ILSVRC2012_val_00013550_t.jpg","fire screen",556,"fire screen"
794,"rabbit_ILSVRC2012_val_00027435_t.jpg","scarf",824,"scarf"
795,"crab_ILSVRC2012_val_00003272_t.jpg","television",851,"television"
796,"crocodilian_ILSVRC2012_val_00010826_t.jpg","window shade",905,"window shade"
797,"tiger_ILSVRC2012_val_00005323_t.jpg","cloak",501,"cloak"
798,"monkey_ILSVRC2012_val_00030362_t.jpg","sea slug",115,"sea slug"
799,"hippopotamus_ILSVRC2012_val_00045847_t.jpg","fire screen",556,"fire screen"
800,"guitar_ILSVRC2012_val_00036762_t.jpg","fire screen",556,"fire screen"
801,"cat_ILSVRC2012_val_00031180_t.jpg","bulletproof vest",465,"bulletproof vest"
802,"snake_ILSVRC2012_val_00013400_t.jpg","doormat",539,"doormat"
803,"gun_ILSVRC2012_val_00016796_t.jpg","flatworm",110,"flatworm"
804,"monkey_ILSVRC2012_val_00003631_t.jpg","shower curtain",794,"shower curtain"
805,"flower_ILSVRC2012_val_00013936_t.jpg","rock beauty fish",392,"rock beauty fish"
806,"bird_ILSVRC2012_val_00004344_t.jpg","kimono",614,"kimono"
807,"hammer_ILSVRC2012_val_00032002_t.jpg","quill",749,"quill"
808,"apple_ILSVRC2012_val_00000023_t.jpg","jigsaw puzzle",611,"jigsaw puzzle"
809,"lobster_ILSVRC2012_val_00036759_t.jpg","brambling",10,"brambling"
810,"hammer_ILSVRC2012_val_00015583_t.jpg","doormat",539,"doormat"
811,"spider_ILSVRC2012_val_00029156_t.jpg","doormat",539,"doormat"
812,"shoe_ILSVRC2012_val_00034558_t.jpg","mask",643,"mask"
813,"elephant_ILSVRC2012_val_00018263_t.jpg","sarong",775,"sarong"
814,"monkey_ILSVRC2012_val_00025615_t.jpg","doormat",539,"doormat"
815,"apple_ILSVRC2012_val_00012232_t.jpg","jigsaw puzzle",611,"jigsaw puzzle"
816,"mushroom_ILSVRC2012_val_00021713_t.jpg","jigsaw puzzle",611,"jigsaw puzzle"
817,"fish_ILSVRC2012_val_00047320_t.jpg","mountain",970,"mountain"
818,"rabbit_ILSVRC2012_val_00013125_t.jpg","velvet fabric",885,"velvet fabric"
819,"apple_ILSVRC2012_val_00034820_t.jpg","muzzle",676,"muzzle"
820,"horse_ILSVRC2012_val_00008317_t.jpg","fire screen",556,"fire screen"
821,"bellpepper_ILSVRC2012_val_00048089_t.jpg","tile roof",858,"tile roof"
822,"butterfly_ILSVRC2012_val_00015608_t.jpg","jeans",608,"jeans"
823,"strawberry_ILSVRC2012_val_00031440_t.jpg","Petri dish",712,"Petri dish"
824,"corn_ILSVRC2012_val_00019250_t.jpg","monitor",664,"monitor"
825,"strawberry_ILSVRC2012_val_00048023_t.jpg","revolver",763,"revolver"
826,"snail_ILSVRC2012_val_00046248_t.jpg","tile roof",858,"tile roof"
827,"flower_ILSVRC2012_val_00048934_t.jpg","hen of the woods mushroom",996,"hen of the woods mushroom"
828,"gun_ILSVRC2012_val_00002840_t.jpg","sarong",775,"sarong"
829,"microwave_ILSVRC2012_val_00037721_t.jpg","perfume",711,"perfume"
830,"snake_ILSVRC2012_val_00024301_t.jpg","cloak",501,"cloak"
831,"crab_ILSVRC2012_val_00034670_t.jpg","rapeseed",984,"rapeseed"
832,"bee_ILSVRC2012_val_00042015_t.jpg","kite (bird of prey)",21,"kite (bird of prey)"
833,"lemon_ILSVRC2012_val_00038325_t.jpg","monitor",664,"monitor"
834,"lemon_ILSVRC2012_val_00045149_t.jpg","jigsaw puzzle",611,"jigsaw puzzle"
835,"dryer_ILSVRC2012_val_00027635_t.jpg","comic book",917,"comic book"
836,"shoe_ILSVRC2012_val_00019717_t.jpg","sunscreen",838,"sunscreen"
837,"spider_ILSVRC2012_val_00029756_t.jpg","cloak",501,"cloak"
838,"hippopotamus_ILSVRC2012_val_00003302_t.jpg","television",851,"television"
839,"chair_ILSVRC2012_val_00001953_t.jpg","sandbar",977,"sandbar"
840,"car_ILSVRC2012_val_00010455_t.jpg","sarong",775,"sarong"
841,"mug_ILSVRC2012_val_00025893_t.jpg","Petri dish",712,"Petri dish"
842,"snake_ILSVRC2012_val_00014926_t.jpg","sandbar",977,"sandbar"
843,"elephant_ILSVRC2012_val_00032620_t.jpg","kite (bird of prey)",21,"kite (bird of prey)"
844,"swine_ILSVRC2012_val_00016806_t.jpg","kimono",614,"kimono"
845,"broccoli_ILSVRC2012_val_00013519_t.jpg","half-track",586,"half-track"
846,"pineapple_ILSVRC2012_val_00023804_t.jpg","kite (bird of prey)",21,"kite (bird of prey)"
847,"hippopotamus_ILSVRC2012_val_00006991_t.jpg","television",851,"television"
848,"crocodilian_ILSVRC2012_val_00018666_t.jpg","sea snake",65,"sea snake"
849,"dog_ILSVRC2012_val_00010378_t.jpg","jigsaw puzzle",611,"jigsaw puzzle"
850,"banana_ILSVRC2012_val_00038819_t.jpg","digital clock",530,"digital clock"
851,"car_ILSVRC2012_val_00037492_t.jpg","kimono",614,"kimono"
852,"strawberry_ILSVRC2012_val_00037522_t.jpg","coral fungus",991,"coral fungus"
853,"mushroom_ILSVRC2012_val_00040625_t.jpg","fire screen",556,"fire screen"
854,"cabbage_ILSVRC2012_val_00005749_t.jpg","hot tub",876,"hot tub"
855,"bee_ILSVRC2012_val_00014008_t.jpg","spindle",816,"spindle"
856,"mug_ILSVRC2012_val_00043571_t.jpg","pickup truck",717,"pickup truck"
857,"acorn_ILSVRC2012_val_00012754_t.jpg","mountain",970,"mountain"
858,"frog_ILSVRC2012_val_00033769_t.jpg","flatworm",110,"flatworm"
859,"swine_ILSVRC2012_val_00007278_t.jpg","fire screen",556,"fire screen"
860,"cabbage_ILSVRC2012_val_00037102_t.jpg","Petri dish",712,"Petri dish"
861,"horse_ILSVRC2012_val_00017358_t.jpg","fire screen",556,"fire screen"
862,"cabbage_ILSVRC2012_val_00019287_t.jpg","hard disk drive",592,"hard disk drive"
863,"fish_ILSVRC2012_val_00014195_t.jpg","Petri dish",712,"Petri dish"
864,"mug_ILSVRC2012_val_00027194_t.jpg","honeycomb",599,"honeycomb"
865,"hammer_ILSVRC2012_val_00003387_t.jpg","fur coat",568,"fur coat"
866,"broccoli_ILSVRC2012_val_00043347_t.jpg","Petri dish",712,"Petri dish"
867,"shoe_ILSVRC2012_val_00048970_t.jpg","poke bonnet",452,"poke bonnet"
868,"butterfly_ILSVRC2012_val_00042436_t.jpg","spotted salamander",28,"spotted salamander"
869,"flower_ILSVRC2012_val_00039137_t.jpg","fire screen",556,"fire screen"
870,"banana_ILSVRC2012_val_00021860_t.jpg","rock beauty fish",392,"rock beauty fish"
871,"corn_ILSVRC2012_val_00030375_t.jpg","CRT monitor",782,"CRT monitor"
872,"guitar_ILSVRC2012_val_00033765_t.jpg","Petri dish",712,"Petri dish"
873,"guitar_ILSVRC2012_val_00019484_t.jpg","comic book",917,"comic book"
874,"strawberry_ILSVRC2012_val_00023739_t.jpg","jigsaw puzzle",611,"jigsaw puzzle"
875,"hammer_ILSVRC2012_val_00028069_t.jpg","mountain",970,"mountain"
876,"bee_ILSVRC2012_val_00017418_t.jpg","window shade",905,"window shade"
877,"snake_ILSVRC2012_val_00027631_t.jpg","cloak",501,"cloak"
878,"banana_ILSVRC2012_val_00003412_t.jpg","comic book",917,"comic book"
879,"horse_ILSVRC2012_val_00032126_t.jpg","kite (bird of prey)",21,"kite (bird of prey)"
880,"frog_ILSVRC2012_val_00010287_t.jpg","Petri dish",712,"Petri dish"
881,"squirrel_ILSVRC2012_val_00024584_t.jpg","sandbar",977,"sandbar"
882,"chair_ILSVRC2012_val_00044181_t.jpg","tile roof",858,"tile roof"
883,"apple_ILSVRC2012_val_00020655_t.jpg","television",851,"television"
884,"cabbage_ILSVRC2012_val_00007752_t.jpg","electric ray",5,"electric ray"
885,"acorn_ILSVRC2012_val_00031536_t.jpg","television",851,"television"
886,"crocodilian_ILSVRC2012_val_00038647_t.jpg","sandbar",977,"sandbar"
887,"bear_ILSVRC2012_val_00020441_t.jpg","window shade",905,"window shade"
888,"pineapple_ILSVRC2012_val_00012582_t.jpg","kite (bird of prey)",21,"kite (bird of prey)"
889,"hippopotamus_ILSVRC2012_val_00038747_t.jpg","jigsaw puzzle",611,"jigsaw puzzle"
890,"bear_ILSVRC2012_val_00041813_t.jpg","black swan",100,"black swan"
891,"clock_ILSVRC2012_val_00017693_t.jpg","vase",883,"vase"
892,"mug_ILSVRC2012_val_00025548_t.jpg","fire screen",556,"fire screen"
893,"mushroom_ILSVRC2012_val_00038421_t.jpg","television",851,"television"
894,"bellpepper_ILSVRC2012_val_00009973_t.jpg","jigsaw puzzle",611,"jigsaw puzzle"
895,"shoe_ILSVRC2012_val_00020303_t.jpg","paddle",693,"paddle"
896,"bear_ILSVRC2012_val_00038263_t.jpg","cloak",501,"cloak"
897,"helmet_ILSVRC2012_val_00049691_t.jpg","window screen",904,"window screen"
898,"frog_ILSVRC2012_val_00014735_t.jpg","Petri dish",712,"Petri dish"
899,"gun_ILSVRC2012_val_00003457_t.jpg","muzzle",676,"muzzle"
900,"snail_ILSVRC2012_val_00023958_t.jpg","Petri dish",712,"Petri dish"
901,"flower_ILSVRC2012_val_00022139_t.jpg","nematode",111,"nematode"
902,"lobster_ILSVRC2012_val_00017039_t.jpg","breakwater",460,"breakwater"
903,"banana_ILSVRC2012_val_00046575_t.jpg","website",916,"website"
904,"crocodilian_ILSVRC2012_val_00037166_t.jpg","lampshade",619,"lampshade"
905,"crocodilian_ILSVRC2012_val_00038287_t.jpg","cloak",501,"cloak"
906,"mushroom_ILSVRC2012_val_00009394_t.jpg","coral fungus",991,"coral fungus"
907,"bear_ILSVRC2012_val_00011967_t.jpg","velvet fabric",885,"velvet fabric"
908,"dog_ILSVRC2012_val_00046583_t.jpg","bulletproof vest",465,"bulletproof vest"
909,"camel_ILSVRC2012_val_00006200_t.jpg","fur coat",568,"fur coat"
910,"pineapple_ILSVRC2012_val_00029522_t.jpg","soccer ball",805,"soccer ball"
911,"strawberry_ILSVRC2012_val_00035170_t.jpg","digital clock",530,"digital clock"
912,"corn_ILSVRC2012_val_00010495_t.jpg","television",851,"television"
913,"swine_ILSVRC2012_val_00031491_t.jpg","mountain",970,"mountain"
914,"dryer_ILSVRC2012_val_00013313_t.jpg","comic book",917,"comic book"
915,"turtle_ILSVRC2012_val_00047941_t.jpg","solar thermal collector",807,"solar thermal collector"
916,"squirrel_ILSVRC2012_val_00035501_t.jpg","rock beauty fish",392,"rock beauty fish"
917,"rabbit_ILSVRC2012_val_00021667_t.jpg","fur coat",568,"fur coat"
918,"squirrel_ILSVRC2012_val_00042981_t.jpg","wool",911,"wool"
919,"bird_ILSVRC2012_val_00030545_t.jpg","sandbar",977,"sandbar"
920,"acorn_ILSVRC2012_val_00028557_t.jpg","mountain",970,"mountain"
921,"rabbit_ILSVRC2012_val_00006108_t.jpg","flatworm",110,"flatworm"
922,"elephant_ILSVRC2012_val_00040375_t.jpg","kite (bird of prey)",21,"kite (bird of prey)"
923,"apple_ILSVRC2012_val_00045087_t.jpg","oscilloscope",688,"oscilloscope"
0,"tiger_ILSVRC2012_val_00030651_t.jpg","muzzle",676,"muzzle"
1,"car_ILSVRC2012_val_00037128_t.jpg","jigsaw puzzle",611,"jigsaw puzzle"
2,"frog_ILSVRC2012_val_00022660_t.jpg","earth star fungus",995,"earth star fungus"
3,"bellpepper_ILSVRC2012_val_00003536_t.jpg","product packet / packaging",692,"product packet / packaging"
4,"spider_ILSVRC2012_val_00026030_t.jpg","picket fence",716,"picket fence"
5,"crab_ILSVRC2012_val_00004462_t.jpg","coral fungus",991,"coral fungus"
6,"tiger_ILSVRC2012_val_00048186_t.jpg","tiger shark",3,"tiger shark"
7,"fish_ILSVRC2012_val_00021994_t.jpg","magpie",18,"magpie"
8,"microwave_ILSVRC2012_val_00027917_t.jpg","comic book",917,"comic book"
9,"microwave_ILSVRC2012_val_00042691_t.jpg","sarong",775,"sarong"
10,"helmet_ILSVRC2012_val_00013302_t.jpg","swimming cap",433,"swimming cap"
11,"airplane_ILSVRC2012_val_00049097_t.jpg","window shade",905,"window shade"
12,"snail_ILSVRC2012_val_00001959_t.jpg","velvet fabric",885,"velvet fabric"
13,"clock_ILSVRC2012_val_00041461_t.jpg","sarong",775,"sarong"
14,"dog_ILSVRC2012_val_00030058_t.jpg","jigsaw puzzle",611,"jigsaw puzzle"
15,"corn_ILSVRC2012_val_00011594_t.jpg","window shade",905,"window shade"
16,"turtle_ILSVRC2012_val_00049782_t.jpg","Petri dish",712,"Petri dish"
17,"acorn_ILSVRC2012_val_00045517_t.jpg","oscilloscope",688,"oscilloscope"
18,"airplane_ILSVRC2012_val_00023781_t.jpg","comic book",917,"comic book"
19,"lobster_ILSVRC2012_val_00047059_t.jpg","kimono",614,"kimono"
20,"crab_ILSVRC2012_val_00011922_t.jpg","kite (bird of prey)",21,"kite (bird of prey)"
21,"camel_ILSVRC2012_val_00003409_t.jpg","jeans",608,"jeans"
22,"lemon_ILSVRC2012_val_00048264_t.jpg","muzzle",676,"muzzle"
23,"crab_ILSVRC2012_val_00008705_t.jpg","kite (bird of prey)",21,"kite (bird of prey)"
24,"cat_ILSVRC2012_val_00038913_t.jpg","paintbrush",696,"paintbrush"
25,"helmet_ILSVRC2012_val_00047186_t.jpg","fire screen",556,"fire screen"
26,"broccoli_ILSVRC2012_val_00027637_t.jpg","Petri dish",712,"Petri dish"
27,"clock_ILSVRC2012_val_00035461_t.jpg","radiator grille",581,"radiator grille"
28,"bee_ILSVRC2012_val_00002566_t.jpg","kite (bird of prey)",21,"kite (bird of prey)"
29,"elephant_ILSVRC2012_val_00011247_t.jpg","kimono",614,"kimono"
30,"butterfly_ILSVRC2012_val_00025307_t.jpg","black grouse",80,"black grouse"
31,"hammer_ILSVRC2012_val_00001110_t.jpg","window shade",905,"window shade"
32,"elephant_ILSVRC2012_val_00035479_t.jpg","swim trunks / shorts",842,"swim trunks / shorts"
33,"turtle_ILSVRC2012_val_00036345_t.jpg","velvet fabric",885,"velvet fabric"
34,"dryer_ILSVRC2012_val_00046673_t.jpg","muzzle",676,"muzzle"
35,"tiger_ILSVRC2012_val_00038124_t.jpg","fur coat",568,"fur coat"
